Date,Cassava_Price,Corn_Price,Green Bean_Price,Soybean_Price
2024-01-01,1.1666666666666667,0.9545454545454546,0.8896103896103896,0.9115092290988055
2024-02-01,1.1033333333333333,0.9910873440285204,0.9099025974025975,0.9543973941368077
2024-03-01,1.07,1.0106951871657752,0.9862012987012987,1.048317046688382
2024-04-01,1.0466666666666666,1.014260249554367,1.005275974025974,1.066775244299674
2024-05-01,1.0233333333333332,1.0080213903743316,1.0190746753246753,1.045059717698154
2024-06-01,1.0,0.9991087344028521,1.0223214285714286,0.9663409337676439
2024-07-01,0.9766666666666667,0.9946524064171123,1.0219155844155843,0.9598262757871877
2024-08-01,0.9566666666666667,0.9946524064171123,1.0247564935064934,1.0054288816503798
2024-09-01,0.9366666666666666,0.9991087344028521,1.025974025974026,1.0103148751357218
2024-10-01,0.9166666666666666,1.0053475935828875,1.0267857142857142,1.009771986970684
2024-11-01,0.9,1.0115864527629232,1.0308441558441557,1.01357220412595
2024-12-01,0.8866666666666667,1.016934046345811,1.0357142857142856,1.007057546145494
